"ALMI14   3HPIM  1   ",76468,"ALFA ROMEO","MITO","MITO HATCHBACK",2016,,,"1.4 8V 3dr",2016,,"Y"
"ALMI14SUP3HPTA  1   ",76469,"ALFA ROMEO","MITO","MITO HATCHBACK",2016,,"Super","1.4 TB MultiAir 140 Super 3dr TCT",2016,,"Y"
"ALMI14SPE3HPTA  1   ",76470,"ALFA ROMEO","MITO","MITO HATCHBACK",2016,,"Speciale","1.4 TB MultiAir 140 Speciale 3dr TCT",2016,,"Y"
"ALMI14VEO3HPTA  1   ",76471,"ALFA ROMEO","MITO","MITO HATCHBACK",2016,,"Veloce","1.4 TB MultiAir 170 Veloce 3dr TCT",2016,,"Y"
"ALMI13   3HDTM  1   ",76472,"ALFA ROMEO","MITO","MITO DIESEL HATCHBACK",2016,,,"1.3 JTDM-2 3dr",2016,,"Y"
"ALMI13SUP3HDTM  1   ",76473,"ALFA ROMEO","MITO","MITO DIESEL HATCHBACK",2016,,"Super","1.3 JTDM-2 Super 3dr",2016,,"Y"
"ALMI13SPE3HDTM  1   ",76474,"ALFA ROMEO","MITO","MITO DIESEL HATCHBACK",2016,,"Speciale","1.3 JTDM-2 Speciale 3dr",2016,,"Y"
"ALGI14   5HPTM      ",74468,"ALFA ROMEO","GIULIETTA","GIULIETTA HATCHBACK",2010,,,"1.4 TB 5dr",2016,,"Y"
"ALGI14SPO5HPTM      ",81751,"ALFA ROMEO","GIULIETTA","GIULIETTA HATCHBACK",2010,,"Sport","1.4 TB Sport 5dr",2017,,"Y"
"ALGI14MUA5HPTM      ",74469,"ALFA ROMEO","GIULIETTA","GIULIETTA HATCHBACK",2010,,,"1.4 TB MultiAir 150 5dr",2016,,"Y"
"ALGI14SUP5HPTM      ",74470,"ALFA ROMEO","GIULIETTA","GIULIETTA HATCHBACK",2010,,"Super","1.4 TB MultiAir 150 Super 5dr",2016,,"Y"
"ALGI14SUL5HPTM      ",74603,"ALFA ROMEO","GIULIETTA","GIULIETTA HATCHBACK",2010,,"Super","1.4 TB MultiAir 150 Super 5dr [Lusso]",2016,,"Y"
